동네,B-KEY,공터,B-KEY,에서,O,친구,B-KEY,들,O,이랑,O,모,O,여,O,고무줄,B-KEY,놀이,B-KEY,랑,O,술래잡,B-KEY,기,O,했,O,어,O,.,O,해,O,질,O,때,O,까지,O,뛰,O,어다니,O,며,O,웃,O,던,O,시간,O,이,O,참,O,소중,O,했,O,지,O,.,O,,
젊,O,었,O,을,O,때,O,딸,B-KEY,아이,O,친구,B-KEY,들,O,과,O,가까운,O,바닷가,B-KEY,로,O,소풍,B-KEY,간,O,적,O,있,O,어,O,.,O,모래밭,O,에서,O,아이,O,들,O,웃음,O,소리,O,들으며,O,참,O,행복,O,했,O,지,O,.,,,,,,,
직장,B-KEY,다니,O,ㄹ,O,때,O,는,O,주말,B-KEY,마다,O,뜨개질,B-KEY,을,O,했,O,어,O,.,O,손,O,으로,O,무언가,O,만들,O,면서,O,마음,O,이,O,편안,O,해지,O,고,O,스트레스,O,도,O,풀렸,O,지,O,.,O,,,,,,,,,,,,
딸,B-KEY,",",O,아들,B-KEY,이랑,O,주말,B-KEY,마다,O,손수,O,만든,O,떡볶이,B-KEY,먹,O,으면서,O,영화,B-KEY,보,O,는,O,시간,O,이,O,참,O,즐거웠,O,어,O,.,O,가족,O,끼리,O,소소,O,한,O,추억,O,쌓,O,기,O,에,O,좋,O,았,O,지,O,.,O,,
남편,B-KEY,과,O,는,O,매주,O,일요일,O,아침,B-KEY,에,O,동네,B-KEY,산책,B-KEY,을,O,했,O,어,O,.,O,함께,O,걷,O,다,O,보,O,면,O,이런저런,O,이야기,O,도,O,나누,O,고,O,마음,O,이,O,참,O,편안,O,해졌,O,지,O,.,O,,,,,,
마을,O,노인회,B-KEY,모임,O,에,O,나가,O,서,O,친구,B-KEY,들,O,과,O,차,B-KEY,마시,O,며,O,옛날,O,이야기,B-KEY,나누,O,는,O,걸,O,좋아했,O,어,O,.,O,서로,O,도움,O,도,O,주,O,고,O,받,O,으면서,O,정,O,이,O,깊,O,었,O,지,O,.,O
결혼,B-KEY,30,O,주년,O,때,O,가족,B-KEY,다,O,모,O,여,O,제주도,B-KEY,로,O,여행,B-KEY,갔,O,던,O,게,O,가장,O,기억,O,에,O,남,O,아,O,.,O,손주,B-KEY,들,O,뛰,O,노,O,는,O,모습,O,보,O,며,O,참,O,행복,O,했,O,지,O,.,O
젊,O,었,O,을,O,때,O,딸,B-KEY,아이,O,친구,B-KEY,들,O,과,O,가까운,O,바닷가,B-KEY,로,O,소풍,B-KEY,간,O,적,O,있,O,어,O,.,O,모래밭,O,에서,O,아이,O,들,O,웃음,O,소리,O,들으며,O,참,O,행복,O,했,O,지,O,.,O,,,,,,
직장,B-KEY,다니,O,ㄹ,O,때,O,는,O,주말,B-KEY,마다,O,뜨개질,B-KEY,을,O,했,O,어,O,.,O,손,O,으로,O,무언가,O,만들,O,면서,O,마음,O,이,O,편안,O,해지,O,고,O,스트레스,O,도,O,풀렸,O,지,O,.,O,,,,,,,,,,,,
딸,B-KEY,",",O,아들,B-KEY,이,O,랑,O,주말,B-KEY,마다,O,손수,O,만든,O,떡볶이,B-KEY,먹,O,으면서,O,영화,B-KEY,보,O,는,O,시간,O,이,O,참,O,즐거웠,O,어,O,.,O,가족,O,끼리,O,소소,O,한,O,추억,O,쌓,O,기,O,에,O,좋,O,았,O,지,O,.,O
