한,O,여름,B-KEY,에,O,무거운,O,책,B-KEY,들,O,고,O,다니,O,며,O,일기,B-KEY,쓰,O,는,O,게,O,제일,O,힘들,O,었,O,어요,O,.,O,땡볕,O,아래,O,에서,O,생각,O,하,O,는,O,것,O,도,O,어렵,O,고,O,",",O,매일,O,쓰,O,는,O,게,O,지겨웠,O,죠,O,.,O
눈,B-KEY,많이,O,온,O,날,O,친구,B-KEY,들,O,이,O,랑,O,눈,B-KEY,싸움,B-KEY,하,O,느라,O,늦,O,을,O,뻔,O,한,O,적,O,있,O,어요,O,.,O,선생님,O,께,O,혼났,O,지만,O,정말,O,재밌,O,었,O,죠,O,.,O,,,,,,,,,,,,,,
처음,,발표,B-KEY,하,O,ㄹ,O,때,O,손,B-KEY,이,O,떨리,O,고,O,목소리,B-KEY,가,O,작,O,아,O,지,O,어서,O,당황,O,하,O,았,O,"지만,",O,끝나,O,고,O,나니,O,뿌듯,O,하,O,았,O,어요.,O,,,,,,,,,,,,,,,,,,,,
공부,B-KEY,가,O,쉽,O,진,O,않,O,았,O,지만,O,",",O,포기,B-KEY,하,O,지,O,않,O,고,O,꾸준히,B-KEY,하,O,니까,O,조금,O,씩,O,나,O,아,O,지ㄴ다는,O,걸,O,배우,O,었,O,어요,O,.,O,그게,O,가장,O,크,O,ㄴ,O,교훈,O,이,O,었,O,죠,O,.,O,,
아이,B-KEY,들,O,이,O,숙제,B-KEY,할,O,때,O,옆,O,에서,O,같이,O,문제,O,를,O,생각,O,해,O,주,O,고,O,",",O,포기,O,하,O,지,O,말,O,라고,O,조용,O,히,O,응원,B-KEY,해,O,줬,O,던,O,기억,O,이,O,있,O,어요,O,.,O,,,,,,,,
작,O,은,O,노력,B-KEY,들,O,이,O,모,O,여,O,큰,O,꿈,B-KEY,을,O,이룬,O,다는,O,말,O,씀,O,을,O,하,O,시,O,어,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"네,",O,밤늦게,B-KEY,까지,O,책,B-KEY,보,O,다,O,결국,O,책상,B-KEY,에,O,머리,O,박,O,고,O,잠,B-KEY,든,O,적,O,이,O,한두,O,번,O,이,O,아니,O,었,O,어요,O,.,O,참,O,힘들,O,었,O,죠,O,.,O,,,,,,,,,,,,,,,,
친구,B-KEY,들,O,이,O,랑,O,나,O,란,O,히,O,앉,O,아,O,바깥,O,풍경,B-KEY,보,O,며,O,조용,O,히,O,이야기,B-KEY,하,O,는,O,걸,O,좋,O,아,O,했,O,어요,O,.,O,소소,O,한,O,시간,O,이,O,참,O,좋,O,았,O,죠,O,.,,,,,,,
네,O,",",O,봄,B-KEY,날,O,에,O,교실,O,대신,O,운동장,B-KEY,에서,O,국어,B-KEY,수업,B-KEY,을,O,했,O,던,O,적,O,이,O,있,O,는데,O,",",O,신선,O,하,O,ㄴ,O,공기,O,와,O,함께,O,라서,O,기억,O,에,O,오래,O,남,O,아요,O,.,O,,,,,,,,
한글,B-KEY,맞춤법,B-KEY,이,O,나,O,기초,O,문법,B-KEY,은,O,아직도,O,잊,O,지,O,않,O,고,O,있,O,어요,O,.,O,그,O,게,O,글,O,쓸,O,때,O,큰,O,도움,O,이,O,됐,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,
