네,O,",",O,학교,B-KEY,다니,O,ㄹ,O,때,O,일기장,B-KEY,에,O,틈틈이,O,꽃,B-KEY,그림,B-KEY,그리,O,면,O,마음,O,이,O,차분,O,해지,O,고,O,하루,O,의,O,걱정,O,이,O,사라졌,O,던,O,기억,O,이,O,나,O,.,O,,,,,,,,,,
가을,B-KEY,들판,B-KEY,에서,O,노랗,O,게,O,물들,O,ㄴ,O,벼,B-KEY,들,O,을,O,보,O,며,O,꽃,O,그림,B-KEY,아이디어,O,가,O,떠오르,O,았,O,어,O,.,O,자연,O,이,O,주,O,ㄴ,O,색감,O,이,O,참,O,아름답,O,었,O,지,O,.,O,,,,
손녀,B-KEY,가,O,내,O,꽃,B-KEY,그림,B-KEY,보,O,고,O,"할머니,",O,너무,O,예쁘,O,어요,O,!,O,하,O,며,O,환하,O,게,O,웃,B-KEY,어,I-KEY,주,O,어서,O,참,O,뿌듯,O,했,O,어,O,.,O,그,O,순간,O,마음,O,이,O,따뜻,O,해졌,O,지,O,.,O
자신,O,이,O,만든,O,작품,B-KEY,을,O,특별히,O,자랑,O,스럽,O,게,O,생각,O,했,O,던,O,순간,O,이,O,있,O,었,O,나요,O,?,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
손주,B-KEY,들,O,생일,B-KEY,에,O,직접,O,그린,O,꽃,B-KEY,그림,B-KEY,카드,B-KEY,보내,O,주면,O,늘,O,고마워,O,하고,O,좋아해서,O,마음,O,이,O,뿌듯,O,했,O,지,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,
손녀,B-KEY,가,O,유치원,B-KEY,발표회,B-KEY,에서,O,곰탈,B-KEY,쓰,O,고,O,춤,B-KEY,췄,O,는데,O,",",O,작,O,고,O,귀여운,O,모습,O,에,O,눈물,O,이,O,났,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,
손,B-KEY,녀,I-KEY,손,O,꼭,O,잡,O,고,O,집,B-KEY,에,O,돌아,O,오,O,는,O,데,O,",",O,딸,B-KEY,어릴,O,적,O,가을,B-KEY,운동,B-KEY,회,I-KEY,생각,O,에,O,코끝,O,이,O,찡,O,했,O,죠,O,.,O,,,,,,,,,,,,
벽,B-KEY,에,O,걸린,O,딸,B-KEY,의,O,수채화,B-KEY,를,O,볼,O,때,O,마다,O,",",O,그,O,아이,O,가,O,자라,O,난,O,시간,O,들,O,이,O,떠올,O,라,O,마음,O,이,O,따뜻,O,해지,O,어요,O,.,O,,,,,,,,,,,,
문화,B-KEY,센터,B-KEY,에서,O,배우,O,ㄴ,O,자수,B-KEY,로,O,손주,B-KEY,이름,B-KEY,을,O,수놓,O,아,O,베개,B-KEY,를,O,만들,O,어,O,주,O,었,O,을,O,때,O,정말,O,기뻤,O,어요,O,.,O,,,,,,,,,,,,,,,,,,
젊,O,었,O,을,O,때,O,시댁,B-KEY,과,O,의,O,갈등,B-KEY,을,O,수채화,B-KEY,로,O,표현,O,한,O,적,O,있,O,어요,O,.,O,파란색,O,만,O,가득,O,했,O,던,O,그림,O,이,O,기억,O,나,O,요,O,.,O,,,,,,,,,,
